C000, 3
C001, 2
C002, 5
C003, 1
C004, 1
C005, 2
C006, 2
C007, 3
C008, 1
C009, 5
C010, 4
C011, 2
C012, 5
C013, 3
C014, 4
C015, 0
C016, 1
C017, 1
C018, 4
C019, 2
C020, 4
C021, 2
C022, 3
C023, 1
C024, 0
C025, 4
C026, 1
C027, 2
C028, 2
C029, 4
C030, 5
C031, 5
C032, 1
C033, 2
C034, 1
C035, 2
C036, 4
C037, 3
C038, 5
C039, 2
C040, 2
C041, 4
C042, 0
C043, 4
C044, 0
C045, 0
C046, 5
C047, 0
C048, 1
C049, 2
C050, 0
C051, 4
C052, 2
C053, 0
C054, 2
C055, 4
C056, 4
C057, 4
C058, 5
C059, 4
C060, 3
C061, 4
C062, 1
C063, 2
C064, 4
C065, 4
C066, 5
C067, 1
C068, 2
C069, 2
C070, 2
C071, 0
C072, 3
C073, 2
C074, 5
C075, 2
C076, 4
C077, 4
C078, 5
C079, 4
C080, 0
C081, 2
C082, 4
C083, 2
C084, 5
C085, 3
C086, 0
C087, 1
C088, 0
C089, 2
C090, 4
C091, 2
C092, 3
C093, 4
C094, 1
C095, 3
C096, 3
C097, 2
C098, 2
C099, 4
